 

  t No1 No2 No3 No4 No5 No6 No7 No8 No9 No10 No11 No12



   0.002    0.00192751    0.00052543    -0.00094499    -0.00152653    -0.00067217    0.00081445    0.00153498    0.00081166    -0.00067513    -0.00152687    -0.00094239    0.00052852
   0.004    0.00519004    -0.00024263    -0.00173486    -0.0015581    0.0001176    0.00168017    0.00162637    0.00000795    -0.00161811    -0.0016875    -0.00013347    0.00154897
   0.006    0.00929215    -0.00088568    -0.00092913    -0.00005869    0.00086948    0.00094243    0.00008842    -0.00085257    -0.00095497    -0.00011807    0.00083496    0.00096673
   0.008    0.01259645    0.00011265    0.00174207    0.00162016    -0.00013053    -0.00174999    -0.00161015    0.0001484    0.00175777    0.00160002    -0.00016626    -0.00176539
   0.01    0.01306916    0.00336076    0.00513149    0.00163115    -0.00354471    -0.00507944    -0.00139656    0.00372086    0.00501622    0.00115891    -0.00388883    -0.00494196
   0.012    0.00939452    0.00805587    0.00728169    -0.00113271    -0.00835863    -0.00681437    0.00187977    0.00860159    0.00629831    -0.00261338    -0.00878302    -0.0057372
   0.014    0.00187841    0.01226521    0.00656778    -0.00616651    -0.01229387    -0.0052493    0.00741948    0.01213887    0.00385241    -0.00856161    -0.01180253    -0.00239796
   0.016    -0.00737545    0.01388112    0.00276837    -0.0113723    -0.01307447    -0.00047638    0.01264275    0.01193382    -0.00182778    -0.01359023    -0.01048831    0.00408524
   0.018    -0.01519325    0.01179386    -0.00253082    -0.01403053    -0.00986894    0.00530865    0.01456057    0.00755954    -0.00787967    -0.01452336    -0.00495564    0.01014371
   0.02    -0.01868305    0.00669058    -0.00648297    -0.01227343    -0.00408636    0.00875444    0.01162529    0.00125674    -0.01054304    -0.01033593    0.0016422    0.01175012
   0.022    -0.01658717    0.00103407    -0.00628785    -0.00630582    0.00100102    0.00714508    0.00498945    -0.00296191    -0.00747272    -0.00330325    0.00470326    0.00724649
   0.024    -0.00996225    -0.0018589    -0.00067054    0.00131206    0.00174056    0.0001074    -0.00165297    -0.00145543    0.00046604    0.00183549    0.00103085    -0.00099482
   0.026    -0.0018024    0.00070761    0.0091979    0.0065818    -0.00398177    -0.00973738    -0.00373519    0.00677721    0.00910619    0.00043952    -0.00875786    -0.0073802
   0.028    0.00427742    0.00942094    0.01986041    0.00585908    -0.0153526    -0.01767093    0.0017571    0.01902279    0.01287849    -0.00911446    -0.01989089    -0.00618902
   0.03    0.00570495    0.02231794    0.02686479    -0.0022738    -0.02856129    -0.01903613    0.0143582    0.02974896    0.00783787    -0.02390104    -0.02567072    0.0047478
   0.032    0.00215884    0.03526782    0.02670416    -0.01596777    -0.03824464    -0.01167299    0.02980815    0.0332164    -0.00580147    -0.03740933    -0.02123558    0.02206162
   0.034    -0.00430348    0.04348818    0.01857814    -0.03049751    -0.03990337    0.00259529    0.04171811    0.02657588    -0.02313506    -0.04275295    -0.00675972    0.03802625
   0.036    -0.01032065    0.0435392    0.00515159    -0.04005856    -0.0322169    0.01829142    0.04457538    0.01182565    -0.03658545    -0.03654438    0.01189448    0.04458081
